DiabetesTypeOne,DiabetesTypeTwo,liverDisease,heartDisease,kidneyDisease,Flu,Fever,LowBP,HighBP,Recommended,Recommended2,Recommended3,Recommended4,Recommended5
yes,no,yes,no,no,no,no,yes,no,EasyBoiledRice,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,no,yes,no,no,no,no,no,yes ,EasyBoiledRice,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,no,yes,no,no,no,no,no,no,EasyBoiledRice,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,no,no,yes,yes,yes,yes,yes,yes,BabyPotato,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,no,no,yes,yes,yes,yes,yes,no,BabyPotato,AlooPalak,PumpkinBhaji,SteelcutOats,mixvegitables
yes,no,no,yes,yes,yes,yes,no,yes,BabyPotato,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,no,no,yes,yes,yes,yes,no,no,BabyPotato,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,no,no,yes,yes,yes,no,yes,yes,BabyPotato,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,no,no,yes,yes,yes,no,yes,no,BabyPotato,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,no,no,yes,yes,yes,no,no,yes,BabyPotato,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,no,no,yes,yes,yes,no,no,no,JeeraAloo,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,no,no,yes,yes,no,yes,yes,yes,JeeraAloo,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,no,no,yes,yes,no,yes,yes,no,JeeraAloo,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,no,no,yes,yes,no,yes,no,yes,JeeraAloo,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,no,no,yes,yes,no,yes,no,no,JeeraAloo,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,no,no,yes,yes,no,no,yes,yes,JeeraAloo,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,no,no,yes,yes,no,no,yes,no,JeeraAloo,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,no,no,yes,yes,no,no,no,yes,AlooGobiMatar,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
yes,no,no,yes,yes,no,no,no,no,AlooGobiMatar,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,no,no,yes,no,yes,yes,yes,yes,AlooGobiMatar,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,no,yes,no,yes,yes,yes,no,AlooGobiMatar,PalakChicken,ChickenNuggets,ChickenNuggets,ChickenNuggets
yes,no,no,yes,no,yes,yes,no,yes,AlooGobiMatar,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,no,no,yes,no,yes,yes,no,no,AlooGobiMatar,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,no,no,yes,no,yes,no,yes,yes,AlooGobiMatar,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,no,no,yes,no,yes,no,yes,no,CabbageChanaDal,AlooGajarMatar,PumpkinBhaji,AlooPalak,SteelcutOats
yes,no,no,yes,no,yes,no,no,yes,CabbageChanaDal,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,no,no,yes,no,yes,no,no,no,CabbageChanaDal,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,no,no,yes,no,no,yes,yes,yes,CabbageChanaDal,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,no,no,yes,no,no,yes,yes,no,CabbageChanaDal,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,no,no,yes,no,no,yes,no,yes,CabbageChanaDal,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,no,no,yes,no,no,yes,no,no,CabbageChanaDal,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,no,no,yes,no,no,no,yes,yes,AlooGajarMatar,AlooPalak,PumpkinBhaji,SteelcutOats,mixvegitables
yes,no,no,yes,no,no,no,yes,no,AlooGajarMatar,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
yes,no,no,yes,no,no,no,no,yes ,AlooGajarMatar,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
yes,no,no,yes,no,no,no,no,no,AlooGajarMatar,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
yes,no,no,no,yes,yes,yes,yes,yes,AlooGajarMatar,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
yes,no,no,no,yes,yes,yes,yes,no,AlooGajarMatar,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
yes,no,no,no,yes,yes,yes,no,yes,AlooGajarMatar,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
yes,no,no,no,yes,yes,yes,no,no,AlooPalak,PumpkinBhaji,SteelcutOats,Smokedsalmon,mixvegitables
yes,no,no,no,yes,yes,no,yes,yes,AlooPalak,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
yes,no,no,no,yes,yes,no,yes,no,AlooPalak,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
yes,no,no,no,yes,yes,no,no,yes,AlooPalak,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
yes,no,no,no,yes,yes,no,no,no,AlooPalak,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
yes,no,no,no,yes,no,yes,yes,yes,AlooPalak,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
yes,no,no,no,yes,no,yes,yes,no,AlooPalak,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
yes,no,no,no,yes,no,yes,no,yes,PumpkinBhaji,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,no,no,no,yes,no,yes,no,no,PumpkinBhaji,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,no,no,yes,no,no,yes,yes,PumpkinBhaji,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,no,no,no,yes,no,no,yes,no,PumpkinBhaji,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,no,no,no,yes,no,no,no,yes,PumpkinBhaji,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,no,no,no,yes,no,no,no,no,PumpkinBhaji,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,no,no,no,no,yes,yes,yes,yes,PumpkinBhaji,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,no,no,no,no,yes,yes,yes,no,PumpkinBhaji,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
yes,no,no,no,no,yes,yes,no,yes,PumpkinBhaji,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
yes,no,no,no,no,yes,yes,no,no,PumpkinBhaji,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
yes,no,no,no,no,yes,no,yes,yes,PumpkinBhaji,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
yes,no,no,no,no,yes,no,yes,no,PumpkinBhaji,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
yes,no,no,no,no,yes,no,no,yes,PumpkinBhaji,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
yes,no,no,no,no,yes,no,no,no,PumpkinBhaji,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
yes,no,no,no,no,no,yes,yes,yes,AlooPalak,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
yes,no,no,no,no,no,yes,yes,no,AlooPalak,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
yes,no,no,no,no,no,yes,no,yes,AlooPalak,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
yes,no,no,no,no,no,yes,no,no,AlooPalak,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
yes,no,no,no,no,no,no,yes,yes,AlooPalak,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
yes,no,no,no,no,no,no,yes,no,AlooPalak,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
yes,no,no,no,no,no,no,no,yes ,AlooPalak,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
yes,no,no,no,no,no,no,no,no,AlooGajarMatar,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,yes,yes,yes,yes,yes,yes,yes,yes,AlooGajarMatar,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,yes,yes,yes,yes,yes,yes,yes,no,AlooGajarMatar,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,yes,yes,yes,yes,yes,yes,no,yes,AlooGajarMatar,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,yes,yes,yes,yes,yes,yes,no,no,AlooGajarMatar,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,yes,yes,yes,yes,yes,no,yes,yes,AlooGajarMatar,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,yes,yes,yes,yes,yes,no,yes,no,AlooGajarMatar,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,yes,yes,yes,yes,yes,no,no,yes,CabbageChanaDal,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,yes,yes,yes,yes,yes,no,no,no,CabbageChanaDal,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,yes,yes,yes,yes,no,yes,yes,yes,CabbageChanaDal,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,yes,yes,yes,yes,no,yes,yes,no,CabbageChanaDal,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,yes,yes,yes,yes,no,yes,no,yes,CabbageChanaDal,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,yes,yes,yes,yes,no,yes,no,no,CabbageChanaDal,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,yes,yes,yes,yes,no,no,yes,yes,CabbageChanaDal,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,yes,yes,yes,yes,no,no,yes,no,AlooGobiMatar,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,yes,yes,yes,yes,no,no,no,yes,AlooGobiMatar,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,yes,yes,yes,yes,no,no,no,no,AlooGobiMatar,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,yes,yes,yes,no,yes,yes,yes,yes,AlooGobiMatar,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,yes,yes,yes,no,yes,yes,yes,no,AlooGobiMatar,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,yes,yes,yes,no,yes,yes,no,yes,AlooGobiMatar,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,yes,yes,yes,no,yes,yes,no,no,AlooGobiMatar,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,yes,yes,yes,no,yes,no,yes,yes,JeeraAloo,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,yes,yes,yes,no,yes,no,yes,no,JeeraAloo,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,yes,yes,yes,no,yes,no,no,yes,JeeraAloo,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,yes,yes,yes,no,yes,no,no,no,JeeraAloo,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,yes,yes,yes,no,no,yes,yes,yes,JeeraAloo,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,yes,yes,yes,no,no,yes,yes,no,JeeraAloo,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,yes,yes,yes,no,no,yes,no,yes,JeeraAloo,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,yes,yes,yes,no,no,yes,no,no,BabyPotato,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,yes,yes,yes,no,no,no,yes,yes,BabyPotato,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,yes,yes,yes,no,no,no,yes,no,BabyPotato,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,yes,yes,yes,no,no,no,no,yes ,BabyPotato,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,yes,yes,yes,no,no,no,no,no,BabyPotato,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,yes,yes,no,yes,yes,yes,yes,yes,BabyPotato,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,yes,yes,no,yes,yes,yes,yes,no,BabyPotato,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,yes,yes,no,yes,yes,yes,no,yes,EasyBoiledRice,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,yes,yes,no,yes,yes,yes,no,no,EasyBoiledRice,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,yes,yes,no,yes,yes,no,yes,yes,EasyBoiledRice,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,yes,yes,no,yes,yes,no,yes,no,EasyBoiledRice,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,yes,yes,no,yes,yes,no,no,yes,EasyBoiledRice,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,yes,yes,no,yes,yes,no,no,no,EasyBoiledRice,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,yes,yes,no,yes,no,yes,yes,yes,EasyBoiledRice,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,yes,yes,no,yes,no,yes,yes,no,BoiledGreenVegetables,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,yes,yes,no,yes,no,yes,no,yes,BoiledGreenVegetables,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,yes,yes,no,yes,no,yes,no,no,BoiledGreenVegetables,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,yes,yes,no,yes,no,no,yes,yes,BoiledGreenVegetables,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,yes,yes,no,yes,no,no,yes,no,BoiledGreenVegetables,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,yes,yes,no,yes,no,no,no,yes,BoiledGreenVegetables,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,yes,yes,no,yes,no,no,no,no,BoiledGreenVegetables,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,yes,yes,no,no,yes,yes,yes,yes,EASYHONEYGARLICSALMON,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,yes,yes,no,no,yes,yes,yes,no,EASYHONEYGARLICSALMON,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,yes,yes,no,no,yes,yes,no,yes,EASYHONEYGARLICSALMON,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,yes,yes,no,no,yes,yes,no,no,EASYHONEYGARLICSALMON,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,yes,yes,no,no,yes,no,yes,yes,EASYHONEYGARLICSALMON,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,yes,yes,no,no,yes,no,yes,no,EASYHONEYGARLICSALMON,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,yes,yes,no,no,yes,no,no,yes,EASYHONEYGARLICSALMON,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,yes,yes,no,no,yes,no,no,no,MuttonDumBiryani,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,yes,yes,no,no,no,yes,yes,yes,MuttonDumBiryani,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,yes,yes,no,no,no,yes,yes,no,MuttonDumBiryani,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,yes,yes,no,no,no,yes,no,yes,MuttonDumBiryani,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,yes,yes,no,no,no,yes,no,no,MuttonDumBiryani,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,yes,yes,no,no,no,no,yes,yes,MuttonDumBiryani,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,yes,yes,no,no,no,no,yes,no,MuttonDumBiryani,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,yes,yes,no,no,no,no,no,yes ,WhiteChickenKorma,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,yes,yes,no,no,no,no,no,no,WhiteChickenKorma,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,yes,no,yes,yes,yes,yes,yes,yes,WhiteChickenKorma,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,yes,no,yes,yes,yes,yes,yes,no,WhiteChickenKorma,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,yes,no,yes,yes,yes,yes,no,yes,WhiteChickenKorma,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,yes,no,yes,yes,yes,yes,no,no,WhiteChickenKorma,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,yes,no,yes,yes,yes,no,yes,yes,WhiteChickenKorma,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,yes,no,yes,yes,yes,no,yes,no,ChickenMayyonaisSandwitch,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,yes,no,yes,yes,yes,no,no,yes,ChickenMayyonaisSandwitch,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,yes,no,yes,yes,yes,no,no,no,ChickenMayyonaisSandwitch,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,yes,no,yes,yes,no,yes,yes,yes,ChickenMayyonaisSandwitch,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,yes,no,yes,yes,no,yes,yes,no,ChickenMayyonaisSandwitch,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,yes,no,yes,yes,no,yes,no,yes,ChickenMayyonaisSandwitch,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,yes,no,yes,yes,no,yes,no,no,ChickenMayyonaisSandwitch,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,yes,no,yes,yes,no,no,yes,yes,ChickensaladSandwitch,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
no,yes,no,yes,yes,no,no,yes,no,ChickensaladSandwitch,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,yes,no,yes,yes,no,no,no,yes,ChickensaladSandwitch,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,yes,no,yes,yes,no,no,no,no,ChickensaladSandwitch,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,yes,no,yes,no,yes,yes,yes,yes,ChickensaladSandwitch,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,yes,no,yes,no,yes,yes,yes,no,ChickensaladSandwitch,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,yes,no,yes,no,yes,yes,no,yes,ChickensaladSandwitch,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,yes,no,yes,no,yes,yes,no,no,HydrabadiHaleem,ChickenNuggets,ChickenPuffs,ChickenKarahi,SafedMurghKurma
no,yes,no,yes,no,yes,no,yes,yes,HydrabadiHaleem,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,yes,no,yes,no,yes,no,yes,no,HydrabadiHaleem,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,yes,no,yes,no,yes,no,no,yes,HydrabadiHaleem,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,yes,no,yes,no,yes,no,no,no,HydrabadiHaleem,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,yes,no,yes,no,no,yes,yes,yes,HydrabadiHaleem,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,yes,no,yes,no,no,yes,yes,no,HydrabadiHaleem,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,yes,no,yes,no,no,yes,no,yes,ChickenPuffs,ChickenKeemaParatha,ChickenKarahi,SafedMurghKurma,ChickenNuggets
no,yes,no,yes,no,no,yes,no,no,ChickenPuffs,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,yes,no,yes,no,no,no,yes,yes,ChickenPuffs,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,yes,no,yes,no,no,no,yes,no,ChickenPuffs,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,yes,no,yes,no,no,no,no,yes ,ChickenPuffs,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,yes,no,yes,no,no,no,no,no,ChickenPuffs,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,yes,no,no,yes,yes,yes,yes,yes,ChickenPuffs,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,yes,no,no,yes,yes,yes,yes,no,ChickenKarahi,PakistaniShamiKababs,SafedMurghKurma,ChickenNuggets,ChickenKeemaParatha
no,yes,no,no,yes,yes,yes,no,yes,ChickenKarahi,TawaChickenfry,PalakChicken,ArabicSeekhKabab,ChickencornSoup
no,yes,no,no,yes,yes,yes,no,no,ChickenKarahi,mixvegitables,PepperChickenFry,AlooGobi,Smokedsalmon
no,yes,no,no,yes,yes,no,yes,yes,ChickenKarahi,SteelcutOats,AlooGajarMatar,PumpkinBhaji,AlooPalak
no,yes,no,no,yes,yes,no,yes,no,ChickenKarahi,BabyPotato,CabbageChanaDal,AlooGobiMatar,JeeraAloo
no,yes,no,no,yes,yes,no,no,yes,ChickenKarahi,MuttonDumBiryani,EasyBoiledRice,BoiledGreenVegetables,EASYHONEYGARLICSALMON
no,yes,no,no,yes,yes,no,no,no,ChickenKarahi,HydrabadiHaleem,WhiteChickenKorma,ChickenMayyonaisSandwitch,ChickensaladSandwitch
no,yes,no,no,yes,no,yes,yes,yes,SafedMurghKurma,PalakChicken,ChickenNuggets,ChickenKeemaParatha,PakistaniShamiKababs
no,yes,no,no,yes,no,yes,yes,no,SafedMurghKurma,PepperChickenFry,ArabicSeekhKabab,ChickencornSoup,TawaChickenfry
no,yes,no,no,yes,no,yes,no,yes,SafedMurghKurma,SteelcutOats,AlooGobi,Smokedsalmon,mixvegitables
no,yes,no,no,yes,no,yes,no,no,SafedMurghKurma,CabbageChanaDal,PumpkinBhaji,AlooPalak,AlooGajarMatar
no,yes,no,no,yes,no,no,yes,yes,SafedMurghKurma,EasyBoiledRice,AlooGobiMatar,JeeraAloo,BabyPotato
no,yes,no,no,yes,no,no,yes,no,SafedMurghKurma,WhiteChickenKorma,BoiledGreenVegetables,EASYHONEYGARLICSALMON,MuttonDumBiryani
no,yes,no,no,yes,no,no,no,yes,SafedMurghKurma,ChickenPuffs,ChickenMayyonaisSandwitch,ChickensaladSandwitch,HydrabadiHaleem
no,yes,no,no,yes,no,no,no,no,ChickenNuggets,ArabicSeekhKabab,ChickenKeemaParatha,PakistaniShamiKababs,PalakChicken
no,yes,no,no,no,yes,yes,yes,yes,ChickenNuggets,AlooGobi,ChickencornSoup,TawaChickenfry,PepperChickenFry
no,yes,no,no,no,yes,yes,yes,no,ChickenNuggets,SteelcutOats,Smokedsalmon,mixvegitables,PumpkinBhaji
no,yes,no,no,no,yes,yes,no,yes,ChickenNuggets,AlooGobiMatar,AlooPalak,AlooGajarMatar,CabbageChanaDal
no,yes,no,no,no,yes,yes,no,no,ChickenNuggets,BoiledGreenVegetables,JeeraAloo,BabyPotato,EasyBoiledRice
no,yes,no,no,no,yes,no,yes,yes,ChickenNuggets,ChickenMayyonaisSandwitch,EASYHONEYGARLICSALMON,MuttonDumBiryani,WhiteChickenKorma
no,yes,no,no,no,yes,no,yes,no,ChickenNuggets,ChickenKarahi,ChickensaladSandwitch,HydrabadiHaleem,ChickenPuffs
no,yes,no,no,no,yes,no,no,yes,ChickenKeemaParatha,ChickencornSoup,PakistaniShamiKababs,PalakChicken,ArabicSeekhKabab
no,yes,no,no,no,yes,no,no,no,ChickenKeemaParatha,Smokedsalmon,TawaChickenfry,PepperChickenFry,AlooGobi
no,yes,no,no,no,no,yes,yes,yes,ChickenKeemaParatha,SteelcutOats,mixvegitables,AlooPalak,PumpkinBhaji
no,yes,no,no,no,no,yes,yes,no,ChickenKeemaParatha,JeeraAloo,AlooGajarMatar,CabbageChanaDal,AlooGobiMatar
no,yes,no,no,no,no,yes,no,yes,ChickenKeemaParatha,EASYHONEYGARLICSALMON,BabyPotato,EasyBoiledRice,BoiledGreenVegetables
no,yes,no,no,no,no,yes,no,no,ChickenKeemaParatha,ChickensaladSandwitch,MuttonDumBiryani,WhiteChickenKorma,ChickenMayyonaisSandwitch
no,yes,no,no,no,no,no,yes,yes,ChickenKeemaParatha,SafedMurghKurma,HydrabadiHaleem,ChickenPuffs,ChickenKarahi
